ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"0811705196"	"2800811705198"	"Don Troiani's Soldiers In America, 1754-1865"	"Troiani, Don; (Text) Earl J. Coates; (Text) James L. Kochan; (Foreword) Brian Pohanka; (Contributor) Rene Chartrand; (Contributor) Charles Cureton; (Contributor) Fred Gaede; Erik Goldstein"	"STACKPOLE BOOKS"	"September 1998"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$27.50"	"$0.00"	"$0.00"	"$0.00"	"03-28-2002"	"07-29-2014"	"05-16-2014"	""	""	"Unknown"
"0811714802"	"2800811714800"	"Discovering the Rommel Murder: The Life and Death of the Desert Fox"	"Marshall, Charles F."	"STACKPOLE BOOKS"	"October 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"09-29-1999"	"08-20-2014"	"08-13-2012"	""	""	"Unknown"
"0811733270"	"2800811733276"	"Don Troiani's American Battles: The Art of The Nation at War, 1754 - 1865"	"Troiani, Don; (Foreword) Peter Harrington"	"Stackpole Books"	"August 2006"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"10-27-2006"	"10-21-2014"	"03-08-2014"	""	""	"Unknown"
"0811734528"	"2800811734525"	"Air Force Officer's Guide (35th Edition)"	"Benton, Jeffrey C."	"Stackpole Books"	"March 2008"	"PaperBack"	"Used - Good"	"MILITARY"	" "	"1"	"$10.00"	"$0.25"	"$0.00"	"$0.00"	"04-10-2009"	"02-09-2014"	"06-10-2009"	""	""	"Unknown"
"0812905202"	"2320010230692"	"On Watch: A Memoir"	"Zumwalt, Elmo R."	"Quadrangle/The New York Times Book Co."	"January 1976"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-03-1999"	"05-20-2014"	"01-05-2013"	""	""	"Unknown"
"0813125138"	"9922751844"	"The Art of Command: Military Leadership from George Washington to Colin Powell"	"Laver, Harry S.,  Jeffrey J. Matthews"	"UNIVERSITY PRESS OF KENTUCKY"	"September 2008"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$16.25"	"$0.25"	"$0.00"	"$0.00"	"10-08-2008"	"02-01-2014"	"07-24-2014"	""	""	"Unknown"
"0815764405"	"2800815764405"	"Technological Change & Future of Warfare"	"O'Hanlon, Michael"	"BROOKINGS INSTITUTION"	"March 2000"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$14.95"	"$0.00"	"$0.00"	"$0.00"	"02-23-2000"	"09-06-2014"	"06-25-2009"	""	""	"Unknown"
"0816010056"	"2800816010051"	"Dictionary of Wars"	"Kohn, George C."	"Facts On File Publications"	"June 1986"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"07-02-2001"	"03-10-2014"	"01-15-2011"	""	""	"Unknown"
"0816031223"	"2800816031223"	"Changing Orders : the Evolution"	"Tsouras, Peter G."	"ARMS AND ARMOUR"	"July 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"05-09-1999"	"05-29-2014"	"01-01-0001"	""	""	"Unknown"
"0816039283"	"2800816039281"	"Dictionary of Wars, Revised Edition"	"Kohn, George Childs"	"FACTS ON FILE"	"July 1999"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$21.25"	"$0.25"	"$0.00"	"$0.00"	"06-18-2000"	"10-03-2013"	"01-01-0001"	""	""	"Unknown"
"0816044023"	"2320011402098"	"Encyclopedia of Battles In North America 1517 to 1916"	"Purcell, L. Edward,  Sarah J. Purcell"	"FACTS ON FILE"	"March 2001"	"Oversized Paper Back"	"Used - Good"	"MILITARY"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"07-26-2010"	"06-11-2014"	"01-01-0001"	""	""	"Unknown"
"0816045690"	"9923827453"	"Encyclopedia of the Navy Seals (Facts on File Library of American History)"	"Sasser, Charles W."	"Facts On File, Inc."	"July 2002"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$30.00"	"$0.00"	"$0.00"	"$0.00"	"07-30-2002"	"05-23-2014"	"01-01-0001"	""	""	"Unknown"
"0817307605"	"2800817307600"	"Crossing the Deadly Ground : United States Army Tactics, 1865 - 1899"	"Jamieson, Perry D."	"UNIVERSITY OF ALABAMA PRESS"	"September 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"03-27-2000"	"03-31-2014"	"07-24-2014"	""	""	"Unknown"
"0831722614"	"2800831722618"	"A Dictionary of Battles, 1715-1815"	"Calvert, Michael; Peter Young"	"Mayflower Books"	"March 1979"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$10.00"	"$0.00"	"$0.00"	"$0.00"	"03-27-2002"	"10-28-2014"	"03-08-2014"	""	""	"Unknown"
"0831744928"	"2800831744924"	"History of Warfare"	"Koch, H.W."	"GALLERY BOOKS"	"January 1981"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$20.00"	"$0.00"	"$0.00"	"$0.00"	"06-01-2001"	"08-27-2014"	"07-23-2010"	""	""	"Unknown"
"0831767650"	"2800831767657"	"The Biography of General George S. Patton"	"Hogg, Ian V."	"Gallery Books"	"October 1983"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$7.50"	"$0.25"	"$0.00"	"$0.00"	"05-18-2007"	"03-18-2014"	"01-24-2014"	""	""	"Unknown"
"0831790792"	"2800831790792"	"U.S. Army Survival Manual"	"Smithmark Publishers"	"SMITHMARK PUBLISHERS INC"	"May 1991"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$8.50"	"$0.00"	"$0.00"	"$0.00"	"08-07-1999"	"09-05-2014"	"01-01-0001"	""	""	"Unknown"
"0831790814"	"2800831790815"	"U.S. Armed Forces Today"	"Levenson, Da"	"GALLERY BOOKS"	"May 1989"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"05-18-2004"	"12-21-2012"	"01-01-0001"	""	""	"Unknown"
"0850523915"	"2800850523913"	"A Drop Too Many"	"Frost, Major-General John"	"Leo Cooper"	"September 1994"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"05-04-2005"	"07-30-2014"	"01-01-0001"	""	""	"Unknown"
"0850524938"	"2800850524934"	"Prince's Dolls: Scandals, Skirmishes and Splendours of the First British Hussars"	"Mollo, John"	"LEO COOPER"	"March 1997"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"01-06-2009"	"01-06-2009"	"01-01-0001"	""	""	"Unknown"
"0850528909"	"2800850528901"	"General Wrangel: Russia's White Crusader"	"Wrangel, Alexis"	"LEO COOPER"	"February 1990"	"Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$9.95"	"$0.00"	"$0.00"	"$0.00"	"09-01-1998"	"04-25-2014"	"10-17-2011"	""	""	"Unknown"
"0853682488"	"2800853682488"	"Modern American Armor: Combat Vehicles of the United States Army Today"	"Zaloga, Steven J.; James W. Loop"	"Arms & Armour Press"	"January 1982"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$9.00"	"$0.00"	"$0.00"	"$0.00"	"07-14-1999"	"05-26-2014"	"11-05-2011"	""	""	"Unknown"
"0855337184"	"2800855337188"	"The World Atlas of Warfare: Military Innovations That Changed the Course of History"	"Holmes, Richard (Ed)"	"MITCHELL BEAZLEY"	"January 1988"	"Oversized Hardcover"	"Used - Good"	"MILITARY"	" "	"1"	"$20.00"	"$0.25"	"$0.00"	"$0.00"	"08-01-2005"	"01-27-2014"	"01-01-0001"	""	""	"Unknown"
